Material,Descripcio,Format_UMA,ZCE_per_unitat,ZCE_per_palet,Unitats_per_palet
0AG0003,FONT D.OR NATURAL 1L RET 12U,CAJ,1.0,32.0,32.0
0AG0004,FONT D.OR NATURAL 1/2 PET 24U,CAJ,1.0,63.0,63.0
0AG0004,FONT D.OR NATURAL 1/2 PET 24U,ZPR,1.0,63.0,63.0
0AG0005,FONT D.OR NATURAL 1/2 RET 20U,CAJ,1.0,40.0,40.0
0AG0006,FONT D.OR NATURAL 1/3 PET 35U,CAJ,1.0,64.0,64.0
0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",CAJ,1.5,60.0,40.0
0AG0007,"FONT D.OR NATURAL 1,5L PET 12U",ZPR,1.5,60.0,40.0
0AG0009,VICHY CATALAN GAS 1L SR 12U,CAJ,1.0,45.0,45.0
0AG0010,VICHY CATALAN GAS 1L RET 12U,CAJ,1.0,32.0,32.0
0AG0011,VICHY CATALAN GAS 1/2 RET 20U,CAJ,1.0,40.0,40.0
0AG0019,FONT D.OR MAXIMUM NATURAL 1/2 RET 20U,CAJ,1.0,40.0,40.0
0AG0021,FONT D.OR MAXIMUM NATURAL 1L RET 12U,CAJ,1.0,32.0,32.0
0AG0022,VICHY 1881 GAS 1/3 RET 20U,CAJ,1.0,48.0,48.0
0AG0026,VICHY CATALAN LIMON 1/3 LATA 24U,CAJ,1.0,99.0,99.0
0AG0027,VICHY CATALAN GAS 1/3 LT SLEEK 24U,CAJ,1.0,100.0,100.0
0AG0035,VICHY CATALAN TONICAS 1/3 LATA 24U,CAJ,1.0,99.0,99.0
0AG0036,VICHY CATALAN NARANJA 1/3 LATA 24U,CAJ,1.0,100.0,100.0
0AG0038,VICHY CATALAN PLUS MENTA 1/3 LATA 24U,CAJ,1.0,99.0,99.0
0AG0039,"FONT D.OR NATURAL 1,5L PET 6U",CAJ,0.75,69.0,92.0
0AG0039,"FONT D.OR NATURAL 1,5L PET 6U",ZPR,0.75,69.0,92.0
0AG0046,"VICHY CATALAN GAS 1,2L PET 6U",CAJ,0.6,50.4,84.0
0AG0047,FONT D.OR NATURAL 8L GARRAFA 1U,CAJ,1.0,,
0AG0052,VICHY CATALAN GAS 1/2 PET 24U,CAJ,1.0,54.0,54.0
0AG0078,VICHY CATALAN FRUIT NARANJA 1/2 PET 24U,CAJ,1.0,,
0AG0079,VICHY CATALAN FRUIT LIMON 1/2 PET 24U,CAJ,1.0,,
0AG0080,VICHY CATALAN FRUIT MANZANA 1/2 PET 24U,CAJ,1.0,,
0AG0081,"VICHY CATALAN FRUIT NARANJA 1,2L PET 6U",CAJ,0.6,59.4,99.0
0AG0082,"VICHY CATALAN FRUIT LIMON 1,2L PET 6U",CAJ,0.6,59.4,99.0
0AG0084,SAN PELLEGRINO GAS 1L PET 6U,CAJ,0.5,52.5,105.0
0AG0085,SAN PELLEGRINO GAS 1/2 PET 24U,CAJ,1.0,63.0,63.0
0AG0087,VICHY CATALAN 1881 GAS 1/3 SR 20U,CAJ,1.0,36.0,36.0
0AG0090,FONT D.OR NATURAL 1/3 LATA 24U,CAJ,1.0,100.0,100.0
0AG0091,VICHY CATALAN 1881 GAS 3/4 SR 12U,CAJ,1.0,27.0,27.0
0AG0092,MALAVELLA AGUA CON GAS 30CL RET 24U,CAJ,1.0,48.0,48.0
0AG0107,EUROACQUA NATURAL 8L GARRAFA 1U,UN,1.0,90.0,90.0
0AG0111,VICHY CATALAN PLUS LIMA LIMON 1/3 LT 24U,CAJ,1.0,,
0AG0117,LES CREUS DIAMANT NATURAL 1L RET 12U,CAJ,1.0,32.0,32.0
0AG0119,FONT D.OR NATURAL 5L PET 4U,CAJ,2.0,72.0,36.0
0AG0125,VICHY FRUIT PIÑA-COCO 1/2 PET 24U,CAJ,1.0,,
0AG0181,FONT D.OR NATURAL 30CL RET 24U,CAJ,1.0,48.0,48.0
0AG0182,VICHY CATALAN SYSPACK GAS 30CL SR 24U,CAJ,1.0,45.0,45.0
0AG0183,VICHY CATALAN GAS 30CL RET 24U,CAJ,1.0,48.0,48.0
0AG0231,VICHY CATALAN 1/2 PET P6 4U,CAJ,1.0,,
0AG0243,MALAVELLA GAS 1/2 RET 20U,CAJ,1.0,40.0,40.0
0AG0336,FONT D.OR BIBEX NATURAL 1/2 SR 24U,CAJ,1.0,,
